id,title,link,price,description,condition,image_thumbnail,category,quantity,availability,google_deeplink,google_product_type,brand,mpn
"FS20900_AQU","Aqualux Elite Modern Half Framed Curved Bath Screen 720mm x 1500mm White Clear",,"200.17","Aqualux Elite Modern Half Framed Curved Bath Screen 720mm x 1500mm White ClearThe curved bath screen suits baths designed for a wider showering area. ...","New",,"Bathrooms > Baths > Bath Shower Screens",1,"In Stock",,"Bathrooms > Baths > Bath Shower Screens",,
"FS20901AQU","Aqualux Elite Modern Half Framed Curved Bath Screen 720mm x 1500mm Polished Silver Clear",,"249","Aqualux Elite Modern Half Framed Curved Bath Screen 720mm x 1500mm Polished Silver The curved bath screen suits baths designed for a wider showering a...","New",,"Bathrooms > Baths > Bath Shower Screens",1,"In Stock",,"Bathrooms > Baths > Bath Shower Screens",,
"FS21010_AQU","Aqualux Energy Sail Shower Door 890mm",,"317.61","Aqualux Energy Sail Shower Door 890mm x 1500mmProduct Info   Exhibiting the superior styling of the Energy range the Sail bath screen   is hinged to a...","New",,"Bathrooms > Baths > Bath Shower Screens",1,"In Stock",,"Bathrooms > Baths > Bath Shower Screens",,
"FS21025AQU","Aqualux Elite Modern Half Framed Sail Bath Screen 820mm x 1500mm Polished Silver",,"198","Aqualux Elite Modern Half Framed Sail Bath Screen 820mm x 1500mm Polished Silver A gentle curved top and elegant design give the Elite Modern Sail bat...","New",,"Bathrooms > Baths > Bath Shower Screens",1,"In Stock",,"Bathrooms > Baths > Bath Shower Screens",,
"FS21025_AQU","Aqualux Elite Modern Half Framed Sail Bath Screen 820mm",,"174.63","Aqualux Elite Modern Half Framed Sail Bath Screen 820mm x 1500mmProduct Info   A gentle curved top and elegant design give the Elite Modern Sail bath ...","New",,"Bathrooms > Baths > Bath Shower Screens",1,"In Stock",,"Bathrooms > Baths > Bath Shower Screens",,
"FS6130AQU","Aqualux Elite Classic Half Framed Radius Glass For Bath Screen 850mm x 1380mm high",,"90","Aqualux Elite Classic Half Framed Radius Glass For Bath Screen 850mm x 1380mm HighProduct InfoThe Radius bath screen comes as a frameless glass panelT...","New",,"Bathrooms > Baths > Bath Shower Screens",1,"In Stock",,"Bathrooms > Baths > Bath Shower Screens",,
"FS6237AQU","Aqualux Aquarius 4 Fold Shower Bath Screen 840mm x 1400mm White",,"173","Aqualux Aquarius 4 Fold Bath Screen 840mm x 1400mm WhiteThe 4 Fold bath screen comes in a choice of pearl silver and white frame finishes. Its clean l...","New",,"Bathrooms > Baths > Bath Shower Screens",1,"In Stock",,"Bathrooms > Baths > Bath Shower Screens",,
"FS6240AQU","Aqualux Aquarius 4 Fold Bath Screen 840mm Pearl Silver",,"204","Aqualux Aquarius 4 Fold Bath Screen 840mm Pearl SilverThe Aqualux 4 Fold bath screen comes in a choice of pearl silver or white frame   finishes with ...","New",,"Bathrooms > Baths > Bath Shower Screens",1,"In Stock",,"Bathrooms > Baths > Bath Shower Screens",,
"FS6250AQU","Aquarius 7 Fold Bath Screen 1430mm White",,"269","Aquarius 7 Fold Bath Screen 1430mm x 1400mm WhiteProduct InfoThe 7 fold is a durable and practical bath screen that concertina folds   away neatly to ...","New",,"Bathrooms > Baths > Bath Shower Screens",1,"In Stock",,"Bathrooms > Baths > Bath Shower Screens",,
"FS6265AQU","Aqualux Euro Fully Framed Over Bath Shower Screen Pearl Silver 750mm",,"68","Aqualux Euro Fully Framed Over Bath Shower Screen&nbsp;Pearl&nbsp;Silver 750mm    Width: 750 mm    Height: 1375 mm    Full frame with minimal design  ...","New",,"Bathrooms > Baths > Bath Shower Screens",1,"In Stock",,"Bathrooms > Baths > Bath Shower Screens",,
"FS6265_AQU","Aqualux Euro Fully Framed Over Bath Shower Screen Pearl Silver 750mm",,"68.42","Aqualux Euro Fully Framed Over Bath Shower Screen&nbsp;Pearl&nbsp;Silver 750mm    Width: 750 mm    Height: 1375 mm    Full frame with minimal design  ...","New",,"Bathrooms > Baths > Bath Shower Screens",1,"In Stock",,"Bathrooms > Baths > Bath Shower Screens",,
"FS6450AQU","Aqualux Euro Frameless Curved Shower Bath Screen 750mm x 1375mm White",,"68","Aqualux Euro Half Framed Radius Bath Screen 750mm x 1375mm WhiteThe Euro Half Framed Radius is a clean, simple bath screen that will create a light an...","New",,"Bathrooms > Baths > Bath Shower Screens",1,"In Stock",,"Bathrooms > Baths > Bath Shower Screens",,
"FS6456AQU","Aqualux Euro Fully Framed Over Bath Shower Screen White 750mm",,"57","Aqualux Euro Fully Framed Over Bath Shower Screen&nbsp;Pearl&nbsp;Silver 750mmEuro Fully Framed is a great value bath screen that comes in a choice of...","New",,"Bathrooms > Baths > Bath Shower Screens",1,"In Stock",,"Bathrooms > Baths > Bath Shower Screens",,
"FS6460AQU","Aqualux Euro Half Framed Radius Bath Screen 750mm x 1375mm Pearl Silver",,"82","Aqualux Euro Half Framed Radius Bath Screen 750mm x 1375mm Pearl SilverProduct InfoA smaller collection the Euro range is a practical option in two st...","New",,"Bathrooms > Baths > Bath Shower Screens",1,"In Stock",,"Bathrooms > Baths > Bath Shower Screens",,
