column,ot_field
product_name,productname
product_id,productid
description,description
deeplink,deeplink
image_url,image_link
category_name,category
price,price
city,city
promotion_details,promotion_details
country,country
short_description,short_description
longitude,longitude
latitude,latitude
facilities,facilities
property_rating,rating
review,review
additionalproductdetails,extra_info
