column,ot_field
id,productid
title,productname
link,deeplink
price,price
description,description
condition,condition
shipping,shipping
shipping_weight,shipping_weight
gtin,gtin
brand,brand
mpn,mpn
item_group_id,item_group_id
colour,colour
material,material
pattern,pattern
size,size
image_link,image_link
additional_image_link,additional_image_link
product_type,category
google_product_category,google_product_category
quantity,quantity
availability,availability
expiration_date,expiration_date
